Title,Region,Suburb,BodyStyle,Year,Odometer,Fuel,Transmission,EngineSize,Cylinders,Seats,ExteriorColour,Model,ModelDetail,Make,Price,LogPrice
2024 Toyota RAV4 Gxl 2.5Ph/4Wd/Hd,Canterbury,Christchurch,RV/SUV,2024,22429,Hybrid,Automatic,2487.0,0,5,Graphite,RAV4,Gxl 2.5Ph/4Wd/Hd,Toyota,48950,10.798554647958657
2024 Toyota RAV4 Gxl 2.5Ph/4Wd/Hd,Canterbury,Christchurch,RV/SUV,2024,20873,Hybrid,Automatic,2487.0,0,5,Arctic Dawn,RAV4,Gxl 2.5Ph/4Wd/Hd,Toyota,48950,10.798554647958657
2023 Toyota RAV4 Gxl 2.5P/4Wd/8At,Canterbury,Christchurch,RV/SUV,2023,38800,Petrol,Automatic,2487.0,0,5,Deep Sea Blue,RAV4,Gxl 2.5P/4Wd/8At,Toyota,41950,10.644233711895351
"2013 Toyota RAV4 LIMITED, 4X4, DIESEL, SUNROOF",Auckland,,Station Wagon,2013,98225,Diesel,Automatic,2231.0,0,5,White,RAV4,"LIMITED, 4X4, DIESEL, SUNROOF",Toyota,17990,9.79757132694458
2019 Toyota Hilux SR 4WD EXTRA CAB 2.8TD FLATDE...,Waikato,Waikato,Ute,2019,96124,Diesel,Automatic,2800.0,0,4,White,Hilux,SR 4WD EXTRA CAB 2.8TD FLATDECK (NZNEW),Toyota,45950,10.735309127783832
2019 Toyota Hilux SR 4WD AUTO FULL BOX SETUP (N...,Waikato,Waikato,Ute,2019,123117,Diesel,Automatic,2800.0,0,2,White,Hilux,SR 4WD AUTO FULL BOX SETUP (NZNEW),Toyota,49950,10.8187777840767
2017 Toyota Hilux SR 4WD D/CAB 2.8TD AUTO (NZNEW),Waikato,Waikato,Ute,2017,199246,Diesel,Automatic,2800.0,0,5,White,Hilux,SR 4WD D/CAB 2.8TD AUTO (NZNEW),Toyota,34950,10.461673747661957
2012 Toyota Camry HYBRID SNERGY DRIVE,Auckland,Auckland,Sedan,2012,162180,Hybrid,Automatic,2490.0,0,5,Black,Camry,HYBRID SNERGY DRIVE,Toyota,11995,9.392245175273795
2015 Toyota Corolla Fielder Hybrid,Wellington,Lower Hutt,Station Wagon,2015,48700,Hybrid,Automatic,1500.0,0,5,Blue,Corolla,Fielder Hybrid,Toyota,16995,9.740674462130217
2019 Toyota Corolla GX 2.0P / NZ NEW,Canterbury,Christchurch,Hatchback,2019,167800,Petrol,Automatic,1987.0,0,5,White,Corolla,GX 2.0P / NZ NEW,Toyota,13980,9.5453830157878
